index,Release_Week,Region,Week,Sites_Reporting,ILI_0_4_years,ILI_5_24_years,ILI_25_49_years,ILI_50_64_years,ILI_65_plus_years,Total_ILI,Total_Patient_Visits,Perc_Unweighted_ILI,Perc_Weighted_ILI
1714,1504,Region 2,201446,261,1111,830,327,168,82,2518,129075,1.95,2.31
1715,1504,Region 2,201447,296,1194,892,394,194,105,2779,127464,2.18,2.77
1716,1504,Region 2,201448,301,1268,855,392,154,104,2773,113030,2.45,2.94
1717,1504,Region 2,201449,301,1445,1063,421,192,113,3234,136639,2.37,2.43
1718,1504,Region 2,201450,278,1402,1111,507,209,122,3351,129093,2.6,2.9
1719,1504,Region 2,201451,279,1462,1430,551,237,175,3855,130802,2.95,3.63
1720,1504,Region 2,201452,277,1719,1639,640,274,188,4460,113074,3.94,5.32
1721,1504,Region 2,201453,239,1790,1208,805,317,293,4413,113167,3.9,4.67
1722,1504,Region 2,201501,197,1354,1310,841,376,287,4168,122291,3.41,4.23
1723,1504,Region 2,201502,194,1229,1804,849,378,294,4554,123786,3.68,4.99
1724,1504,Region 2,201503,183,1389,2252,769,380,232,5022,124394,4.04,5.63
1725,1504,Region 2,201504,163,1079,1790,676,309,231,4085,105364,3.88,6.35
1726,1504,Region 3,201440,243,395,627,451,126,90,1689,129304,1.31,1.14
1727,1504,Region 3,201441,239,404,664,462,131,75,1736,113175,1.53,1.33
1728,1504,Region 3,201442,233,415,714,446,147,87,1809,118477,1.53,1.27
1729,1504,Region 3,201443,244,490,706,458,156,84,1894,127899,1.48,1.31
1730,1504,Region 3,201444,244,494,727,452,129,82,1884,123547,1.52,1.32
1731,1504,Region 3,201445,248,552,756,421,143,131,2003,129307,1.55,1.48
1732,1504,Region 3,201446,252,603,730,446,166,88,2033,131835,1.54,1.33
1733,1504,Region 3,201447,249,560,756,477,144,101,2038,116253,1.75,1.6
1734,1504,Region 3,201448,240,632,787,493,160,118,2190,99352,2.2,2.16
1735,1504,Region 3,201449,243,681,1026,741,258,154,2860,127473,2.24,2.06
1736,1504,Region 3,201450,245,882,1556,1014,342,238,4032,131511,3.07,2.79
1737,1504,Region 3,201451,247,1196,2775,1662,560,357,6550,133251,4.92,4.31
1738,1504,Region 3,201452,239,1968,3767,3455,1253,1152,11595,129385,8.96,6.96
1739,1504,Region 3,201453,246,1879,2431,3427,1513,1468,10718,132691,8.08,6.63
1740,1504,Region 3,201501,243,1147,1965,2491,1050,955,7608,129973,5.85,4.73
1741,1504,Region 3,201502,247,1059,1855,1811,677,554,5956,127273,4.68,4.04
1742,1504,Region 3,201503,248,877,2091,1545,786,410,5709,125883,4.54,4.56
1743,1504,Region 3,201504,234,931,1884,1370,531,417,5133,121405,4.23,4.15
1744,1504,Region 4,201440,301,330,531,187,80,46,1174,127917,0.92,0.83
1745,1504,Region 4,201441,307,353,766,248,74,64,1505,128706,1.17,1.12
1746,1504,Region 4,201442,306,328,688,242,80,45,1383,131076,1.06,1.13
1747,1504,Region 4,201443,292,386,741,292,132,48,1599,131740,1.21,1.32
1748,1504,Region 4,201444,316,342,879,256,94,50,1621,132884,1.22,1.31
1749,1504,Region 4,201445,304,482,951,316,119,51,1919,126654,1.52,1.49
1750,1504,Region 4,201446,310,525,1162,340,138,64,2229,129074,1.73,1.69
1751,1504,Region 4,201447,313,621,1722,499,168,76,3086,135255,2.28,2.2
1752,1504,Region 4,201448,304,767,1359,542,242,145,3055,99817,3.06,3.06
1753,1504,Region 4,201449,307,782,1691,830,322,210,3835,123872,3.1,2.85
1754,1504,Region 4,201450,309,1317,2788,872,322,216,5515,125506,4.39,3.72
1755,1504,Region 4,201451,292,1892,3707,1343,573,460,7975,126075,6.33,5.65
1756,1504,Region 4,201452,285,2026,2662,1632,744,712,7776,97493,7.98,7.45
1757,1504,Region 4,201453,299,1456,1412,1267,669,648,5452,105254,5.18,5.13
1758,1504,Region 4,201501,288,1072,1462,1006,485,398,4423,121419,3.64,3.36
1759,1504,Region 4,201502,276,790,1505,698,325,244,3562,118250,3.01,2.85
1760,1504,Region 4,201503,272,1001,1724,623,291,202,3841,114449,3.36,3.17
1761,1504,Region 4,201504,243,715,1576,545,215,172,3223,98008,3.29,2.9
1762,1504,Region 5,201440,266,358,400,181,80,64,1083,106896,1.01,0.74
1763,1504,Region 5,201441,277,339,443,182,105,48,1117,107731,1.04,0.81
1764,1504,Region 5,201442,281,402,472,190,100,65,1229,108512,1.13,0.88
1765,1504,Region 5,201443,284,394,506,248,101,84,1333,111956,1.19,1.0
1766,1504,Region 5,201444,290,456,558,240,122,65,1441,116089,1.24,1.04
1767,1504,Region 5,201445,288,490,705,249,106,76,1626,114968,1.41,1.17
1768,1504,Region 5,201446,288,557,715,272,115,59,1718,113097,1.52,1.23
1769,1504,Region 5,201447,278,588,830,323,129,79,1949,106873,1.82,1.47
1770,1504,Region 5,201448,289,690,978,324,131,125,2248,85694,2.62,1.88
1771,1504,Region 5,201449,293,1015,1615,554,234,204,3622,117071,3.09,2.39
1772,1504,Region 5,201450,291,1251,2597,819,343,271,5281,118916,4.44,3.88
1773,1504,Region 5,201451,284,1541,2625,952,443,351,5912,112815,5.24,4.93
1774,1504,Region 5,201452,277,1192,1527,967,462,514,4662,76199,6.12,6.61
1775,1504,Region 5,201453,274,1157,876,838,434,459,3764,81894,4.6,4.84
1776,1504,Region 5,201501,274,792,773,658,340,283,2846,90652,3.14,3.23
1777,1504,Region 5,201502,271,685,820,467,280,196,2448,97770,2.5,2.64
1778,1504,Region 5,201503,247,654,733,379,199,137,2102,91268,2.3,2.38
1779,1504,Region 5,201504,204,618,596,316,145,90,1765,79937,2.21,2.06
1780,1504,Region 6,201440,240,465,710,469,121,78,1843,103834,1.77,1.83
1781,1504,Region 6,201441,250,560,807,509,187,100,2163,109903,1.97,2.0
1782,1504,Region 6,201442,258,764,932,573,182,103,2554,110428,2.31,2.14
1783,1504,Region 6,201443,258,654,1018,571,171,90,2504,109415,2.29,2.22
1784,1504,Region 6,201444,252,678,1032,604,142,79,2535,108859,2.33,2.32
1785,1504,Region 6,201445,254,800,1130,610,172,90,2802,106122,2.64,2.44
1786,1504,Region 6,201446,226,862,1104,484,157,133,2740,104249,2.63,2.3
1787,1504,Region 6,201447,250,929,1822,819,220,120,3910,100474,3.89,3.88
1788,1504,Region 6,201448,255,1282,1810,1134,296,222,4744,93685,5.06,4.69
1789,1504,Region 6,201449,258,1278,2144,1485,445,341,5693,116537,4.89,4.8
1790,1504,Region 6,201450,258,1404,2917,1336,416,299,6372,100212,6.36,8.08
1791,1504,Region 6,201451,234,1722,3306,1522,459,400,7409,90195,8.21,11.09
1792,1504,Region 6,201452,218,1803,2113,1180,433,423,5952,79711,7.47,7.8
1793,1504,Region 6,201453,228,1644,1548,1656,668,502,6018,79957,7.53,10.0
1794,1504,Region 6,201501,232,1137,1628,1509,580,350,5204,87414,5.95,8.27
1795,1504,Region 6,201502,235,1257,2520,1562,539,293,6171,91008,6.78,9.26
1796,1504,Region 6,201503,231,1449,2919,1578,536,302,6784,106354,6.38,7.64
1797,1504,Region 6,201504,226,1196,2442,1393,488,250,5769,103270,5.59,6.65
1798,1504,Region 7,201440,83,50,98,43,15,14,220,50032,0.44,0.71
1799,1504,Region 7,201441,83,57,124,56,18,14,269,49871,0.54,0.87
1800,1504,Region 7,201442,82,53,129,72,23,15,292,51846,0.56,0.98
1801,1504,Region 7,201443,85,68,130,56,27,8,289,51529,0.56,0.91
1802,1504,Region 7,201444,82,54,113,36,13,11,227,47940,0.47,0.71
1803,1504,Region 7,201445,83,48,124,59,13,12,256,50784,0.5,0.77
1804,1504,Region 7,201446,86,63,143,62,22,7,297,50738,0.59,1.1
1805,1504,Region 7,201447,82,75,163,58,20,8,324,49777,0.65,1.03
1806,1504,Region 7,201448,84,79,166,88,23,17,373,36750,1.01,1.86
1807,1504,Region 7,201449,83,91,242,122,41,26,522,53634,0.97,1.8
1808,1504,Region 7,201450,83,169,573,222,66,69,1099,53084,2.07,3.72
1809,1504,Region 7,201451,78,216,652,272,100,82,1322,53218,2.48,4.84
1810,1504,Region 7,201452,80,215,407,281,131,143,1177,35774,3.29,6.55
1811,1504,Region 7,201453,81,272,316,316,121,168,1193,39550,3.02,5.95
1812,1504,Region 7,201501,74,144,269,281,88,107,889,17058,5.21,4.98
1813,1504,Region 7,201502,70,142,342,181,72,66,803,17744,4.53,4.09
1814,1504,Region 7,201503,66,170,380,156,63,55,824,15075,5.47,4.61
1815,1504,Region 7,201504,58,134,339,160,80,94,807,14349,5.62,4.93
1816,1504,Region 8,201440,117,82,152,87,19,8,348,36991,0.94,0.67
1817,1504,Region 8,201441,114,58,146,87,23,12,326,37517,0.87,0.66
1818,1504,Region 8,201442,114,65,175,82,19,10,351,39391,0.89,0.67
1819,1504,Region 8,201443,111,80,173,91,23,10,377,35071,1.07,0.79
1820,1504,Region 8,201444,114,81,152,94,25,12,364,36635,0.99,0.77
1821,1504,Region 8,201445,109,82,180,80,21,6,369,34736,1.06,0.81
1822,1504,Region 8,201446,113,93,216,97,21,14,441,36574,1.21,0.79
1823,1504,Region 8,201447,113,98,239,84,26,16,463,36541,1.27,0.76
1824,1504,Region 8,201448,116,121,250,104,29,20,524,31163,1.68,0.99
1825,1504,Region 8,201449,116,165,286,144,52,18,665,38287,1.74,1.32
1826,1504,Region 8,201450,115,192,425,197,58,34,906,38726,2.34,1.86
1827,1504,Region 8,201451,110,229,522,234,75,51,1111,37438,2.97,2.46
1828,1504,Region 8,201452,111,279,561,331,113,104,1388,30675,4.52,3.9
1829,1504,Region 8,201453,112,397,463,407,148,128,1543,33807,4.56,4.45
1830,1504,Region 8,201501,116,340,491,332,151,109,1423,41027,3.47,3.43
1831,1504,Region 8,201502,117,310,554,328,108,74,1374,39259,3.5,3.45
1832,1504,Region 8,201503,111,351,511,276,112,69,1319,37507,3.52,3.27
1833,1504,Region 8,201504,104,316,445,201,106,61,1129,36238,3.12,3.14
1834,1504,Region 9,201440,231,262,532,202,101,105,1202,86888,1.38,1.68
1835,1504,Region 9,201441,244,284,569,217,117,97,1284,88075,1.46,1.78
1836,1504,Region 9,201442,250,298,526,234,108,121,1287,91404,1.41,1.69
1837,1504,Region 9,201443,255,288,524,256,111,86,1265,93897,1.35,1.64
1838,1504,Region 9,201444,260,304,493,187,108,114,1206,87827,1.37,1.66
1839,1504,Region 9,201445,267,348,689,221,120,94,1472,90842,1.62,1.96
1840,1504,Region 9,201446,250,358,566,194,85,101,1304,82971,1.57,1.89
1841,1504,Region 9,201447,268,423,701,265,140,111,1640,91970,1.78,2.18
1842,1504,Region 9,201448,266,359,504,238,114,105,1320,62945,2.1,2.46
1843,1504,Region 9,201449,272,399,681,303,189,128,1700,90692,1.87,2.18
1844,1504,Region 9,201450,265,421,730,303,181,157,1792,85615,2.09,2.38
1845,1504,Region 9,201451,257,477,707,335,185,161,1865,79799,2.34,2.67
1846,1504,Region 9,201452,248,494,561,295,200,186,1736,47107,3.69,4.16
1847,1504,Region 9,201453,247,543,600,489,307,290,2229,54229,4.11,4.54
1848,1504,Region 9,201501,240,560,1003,671,371,371,2976,82289,3.62,3.81
1849,1504,Region 9,201502,230,616,1205,681,338,396,3236,80362,4.03,4.24
1850,1504,Region 9,201503,221,684,1292,600,311,300,3187,68457,4.66,4.78
1851,1504,Region 9,201504,163,479,1009,316,199,145,2148,49083,4.38,4.4
1852,1504,Region 10,201440,54,22,30,7,1,1,61,11103,0.55,0.47
1853,1504,Region 10,201441,55,24,66,20,10,3,123,12171,1.01,1.08
1854,1504,Region 10,201442,69,34,62,12,11,2,121,14332,0.84,0.78
1855,1504,Region 10,201443,66,40,40,20,6,4,110,13642,0.81,0.73
1856,1504,Region 10,201444,70,38,52,27,5,7,129,13444,0.96,0.86
1857,1504,Region 10,201445,71,46,67,24,10,11,158,13576,1.16,0.89
1858,1504,Region 10,201446,72,43,60,29,10,8,150,13243,1.13,0.93
1859,1504,Region 10,201447,67,57,64,22,6,17,166,13007,1.28,0.98
1860,1504,Region 10,201448,70,57,44,22,12,8,143,10671,1.34,1.06
1861,1504,Region 10,201449,70,58,72,31,28,11,200,13238,1.51,1.29
1862,1504,Region 10,201450,69,63,92,37,22,10,224,12634,1.77,1.46
1863,1504,Region 10,201451,65,82,121,48,19,12,282,11129,2.53,2.02
1864,1504,Region 10,201452,65,97,119,37,14,13,280,7566,3.7,2.65
1865,1504,Region 10,201453,65,127,99,72,30,19,347,7755,4.47,3.23
1866,1504,Region 10,201501,73,130,127,90,60,34,441,13158,3.35,3.13
1867,1504,Region 10,201502,69,119,189,82,44,39,473,13092,3.61,3.47
1868,1504,Region 10,201503,67,126,183,69,36,33,447,12791,3.49,3.18
1869,1504,Region 10,201504,57,84,171,62,28,16,361,11050,3.27,2.78
1870,1505,National,201440,1967,2938,4027,2040,721,525,10251,841656,1.22,1.18
1871,1505,National,201441,1995,3025,4461,2166,840,545,11037,830497,1.33,1.32
1872,1505,National,201442,2030,3435,4751,2365,875,567,11993,843702,1.42,1.39
1873,1505,National,201443,2040,3414,4972,2496,903,532,12317,861119,1.43,1.44
1874,1505,National,201444,2084,3582,5100,2305,808,524,12319,853983,1.44,1.44
1875,1505,National,201445,2082,4210,5791,2394,878,601,13874,858944,1.62,1.64
1876,1505,National,201446,2013,4344,5752,2304,913,580,13893,843637,1.65,1.64
1877,1505,National,201447,2071,4694,7364,3006,1074,645,16783,830085,2.02,2.08
1878,1505,National,201448,2080,5389,6885,3386,1184,884,17728,668883,2.65,2.59
1879,1505,National,201449,2104,6068,9065,4712,1794,1233,22872,871221,2.63,2.56
1880,1505,National,201450,2072,7283,13064,5376,1994,1457,29174,845674,3.45,3.65
1881,1505,National,201451,2003,9038,16152,7004,2687,2090,36971,825172,4.48,4.93
1882,1505,National,201452,1955,10026,13572,8915,3680,3492,39685,648875,6.12,5.98
1883,1505,National,201453,1951,9544,9172,9423,4302,4069,36510,685284,5.33,5.5
1884,1505,National,201501,1904,6963,9403,8058,3608,2984,31016,755579,4.1,4.26
1885,1505,National,201502,1886,6616,11495,6940,2889,2265,30205,763597,3.96,4.28
1886,1505,National,201503,1847,7302,13250,6363,2904,1940,31759,760768,4.17,4.33
1887,1505,National,201504,1784,6505,12267,5710,2459,1802,28743,731739,3.93,4.08
1888,1505,National,201505,1564,5314,10009,4785,2063,1439,23610,666636,3.54,3.76
1889,1505,Region 1,201440,145,101,185,44,13,9,352,51419,0.68,0.86
1890,1505,Region 1,201441,151,109,199,37,24,17,386,51169,0.75,0.91
1891,1505,Region 1,201442,147,81,191,53,21,9,355,45662,0.78,0.92
1892,1505,Region 1,201443,152,84,165,47,20,14,330,52466,0.63,0.79
1893,1505,Region 1,201444,157,115,218,55,30,15,433,53504,0.81,1.04
1894,1505,Region 1,201445,160,145,256,54,24,19,498,58734,0.85,1.15
1895,1505,Region 1,201446,153,129,226,53,31,24,463,52480,0.88,1.13
1896,1505,Region 1,201447,153,148,174,64,27,12,425,52257,0.81,1.0
1897,1505,Region 1,201448,153,134,132,49,23,20,358,35480,1.01,1.16
1898,1505,Region 1,201449,157,152,242,78,33,28,533,53039,1.0,1.24
1899,1505,Region 1,201450,151,179,269,67,34,41,590,49486,1.19,1.46
1900,1505,Region 1,201451,147,211,250,69,31,39,600,48047,1.25,1.39
1901,1505,Region 1,201452,144,226,200,91,54,57,628,30878,2.03,2.24
1902,1505,Region 1,201453,143,239,173,108,69,74,663,33707,1.97,2.28
1903,1505,Region 1,201501,145,240,332,148,91,76,887,46032,1.93,2.56
1904,1505,Region 1,201502,144,305,562,194,97,80,1238,47714,2.59,3.22
1905,1505,Region 1,201503,136,457,917,224,126,114,1838,47363,3.88,4.09
1906,1505,Region 1,201504,131,308,827,168,87,46,1436,38739,3.71,4.09
1907,1505,Region 1,201505,101,210,595,151,83,50,1089,33673,3.23,3.77
1908,1505,Region 2,201440,284,872,758,362,157,109,2258,136761,1.65,1.79
1909,1505,Region 2,201441,273,837,677,348,151,115,2128,131830,1.61,1.68
1910,1505,Region 2,201442,288,995,862,461,184,110,2612,132218,1.98,2.35
1911,1505,Region 2,201443,291,930,969,457,156,104,2616,133222,1.96,2.33
1912,1505,Region 2,201444,297,1020,876,354,140,89,2479,132925,1.86,1.99
1913,1505,Region 2,201445,295,1217,933,359,150,111,2770,132937,2.08,2.54
1914,1505,Region 2,201446,262,1111,830,327,168,82,2518,129130,1.95,2.3
1915,1505,Region 2,201447,296,1194,892,394,194,105,2779,127464,2.18,2.77
1916,1505,Region 2,201448,301,1268,855,392,154,104,2773,113030,2.45,2.94
1917,1505,Region 2,201449,301,1445,1062,421,192,113,3233,136639,2.37,2.43
1918,1505,Region 2,201450,280,1402,1111,507,209,122,3351,129158,2.59,2.9
1919,1505,Region 2,201451,281,1462,1430,551,238,176,3857,130836,2.95,3.63
1920,1505,Region 2,201452,279,1719,1639,640,274,188,4460,113106,3.94,5.32
1921,1505,Region 2,201453,242,1790,1208,805,317,295,4415,113179,3.9,4.67
1922,1505,Region 2,201501,201,1354,1310,842,376,287,4169,122447,3.4,4.22
1923,1505,Region 2,201502,202,1257,1822,859,383,301,4622,124842,3.7,4.96
1924,1505,Region 2,201503,193,1426,2296,793,383,245,5143,127054,4.05,5.59
1925,1505,Region 2,201504,184,1144,1915,713,313,241,4326,111390,3.88,5.78
1926,1505,Region 2,201505,157,1000,1728,635,281,178,3822,103450,3.69,6.42
1927,1505,Region 3,201440,243,395,627,451,126,90,1689,129304,1.31,1.14
1928,1505,Region 3,201441,239,404,664,462,131,75,1736,113175,1.53,1.33
1929,1505,Region 3,201442,233,415,714,446,147,87,1809,118477,1.53,1.27
1930,1505,Region 3,201443,244,490,706,458,156,84,1894,127899,1.48,1.31
1931,1505,Region 3,201444,244,494,727,452,129,82,1884,123547,1.52,1.32
1932,1505,Region 3,201445,248,552,756,421,143,131,2003,129307,1.55,1.48
1933,1505,Region 3,201446,252,603,730,446,166,88,2033,131835,1.54,1.33
1934,1505,Region 3,201447,249,560,756,477,144,101,2038,116253,1.75,1.6
1935,1505,Region 3,201448,240,632,787,493,160,118,2190,99352,2.2,2.16
1936,1505,Region 3,201449,243,681,1026,741,258,154,2860,127473,2.24,2.06
1937,1505,Region 3,201450,245,882,1556,1014,342,238,4032,131511,3.07,2.79
1938,1505,Region 3,201451,247,1196,2775,1662,560,357,6550,133251,4.92,4.31
1939,1505,Region 3,201452,240,1968,3767,3455,1253,1152,11595,129468,8.96,6.95
1940,1505,Region 3,201453,248,1879,2431,3427,1513,1468,10718,132883,8.07,6.6
1941,1505,Region 3,201501,245,1147,1965,2495,1051,955,7613,130152,5.85,4.72
1942,1505,Region 3,201502,252,1062,1879,1847,690,564,6042,128808,4.69,4.01
1943,1505,Region 3,201503,255,892,2124,1585,812,431,5844,129423,4.52,4.49
1944,1505,Region 3,201504,248,960,2011,1447,569,441,5428,125985,4.31,4.22
1945,1505,Region 3,201505,215,767,1522,1257,486,310,4342,135357,3.21,3.23
1946,1505,Region 4,201440,301,330,531,187,80,46,1174,127917,0.92,0.83
1947,1505,Region 4,201441,307,353,766,248,74,64,1505,128706,1.17,1.12
1948,1505,Region 4,201442,306,328,688,242,80,45,1383,131076,1.06,1.13
1949,1505,Region 4,201443,292,386,741,292,132,48,1599,131740,1.21,1.32
1950,1505,Region 4,201444,316,342,879,256,94,50,1621,132884,1.22,1.31
1951,1505,Region 4,201445,304,482,951,316,119,51,1919,126654,1.52,1.49
1952,1505,Region 4,201446,310,525,1162,340,138,64,2229,129074,1.73,1.69
1953,1505,Region 4,201447,313,621,1722,499,168,76,3086,135255,2.28,2.2
1954,1505,Region 4,201448,304,767,1359,542,242,145,3055,99817,3.06,3.06
1955,1505,Region 4,201449,307,782,1691,830,322,210,3835,123872,3.1,2.85
1956,1505,Region 4,201450,309,1317,2788,872,322,216,5515,125506,4.39,3.72
1957,1505,Region 4,201451,293,1892,3745,1348,573,460,8018,127384,6.29,5.63
1958,1505,Region 4,201452,286,2026,2664,1635,744,712,7781,97702,7.96,7.44
1959,1505,Region 4,201453,302,1465,1432,1296,691,661,5545,106260,5.22,5.16
1960,1505,Region 4,201501,292,1079,1476,1012,489,399,4455,122250,3.64,3.37
1961,1505,Region 4,201502,280,802,1525,701,325,244,3597,119572,3.01,2.86
1962,1505,Region 4,201503,277,1003,1733,628,291,202,3857,115197,3.35,3.16
1963,1505,Region 4,201504,268,814,1722,578,229,177,3520,106046,3.32,2.88
1964,1505,Region 4,201505,243,706,1576,454,207,148,3091,95516,3.24,2.67
1965,1505,Region 5,201440,266,358,400,181,80,64,1083,106896,1.01,0.74
1966,1505,Region 5,201441,277,339,443,182,105,48,1117,107731,1.04,0.81
1967,1505,Region 5,201442,281,402,472,190,100,65,1229,108512,1.13,0.88
1968,1505,Region 5,201443,284,394,506,248,101,84,1333,111956,1.19,1.0
1969,1505,Region 5,201444,290,456,558,240,122,65,1441,116089,1.24,1.04
1970,1505,Region 5,201445,288,490,705,249,106,76,1626,114968,1.41,1.17
1971,1505,Region 5,201446,288,557,715,272,115,59,1718,113097,1.52,1.23
1972,1505,Region 5,201447,278,588,830,323,129,79,1949,106873,1.82,1.47
1973,1505,Region 5,201448,289,690,978,324,131,125,2248,85694,2.62,1.88
1974,1505,Region 5,201449,293,1015,1615,554,234,204,3622,117071,3.09,2.39
1975,1505,Region 5,201450,291,1251,2597,819,343,271,5281,118916,4.44,3.88
1976,1505,Region 5,201451,284,1541,2625,952,443,351,5912,112815,5.24,4.93
1977,1505,Region 5,201452,277,1192,1527,967,462,514,4662,76199,6.12,6.61
1978,1505,Region 5,201453,275,1181,884,843,435,459,3802,82890,4.59,4.84
1979,1505,Region 5,201501,276,802,776,665,341,284,2868,91462,3.14,3.23
1980,1505,Region 5,201502,275,700,828,469,284,196,2477,98821,2.51,2.65
1981,1505,Region 5,201503,263,672,757,386,203,139,2157,95413,2.26,2.34
1982,1505,Region 5,201504,239,662,644,343,161,100,1910,92066,2.07,1.97
1983,1505,Region 5,201505,201,515,553,204,114,74,1460,65952,2.21,1.89
1984,1505,Region 6,201440,240,465,710,469,121,78,1843,103834,1.77,1.83
1985,1505,Region 6,201441,250,560,807,509,187,100,2163,109903,1.97,2.0
1986,1505,Region 6,201442,258,764,932,573,182,103,2554,110428,2.31,2.14
1987,1505,Region 6,201443,258,654,1018,571,171,90,2504,109415,2.29,2.22
1988,1505,Region 6,201444,252,678,1032,604,142,79,2535,108859,2.33,2.32
1989,1505,Region 6,201445,254,800,1130,610,172,90,2802,106122,2.64,2.44
1990,1505,Region 6,201446,226,862,1104,484,157,133,2740,104249,2.63,2.3
1991,1505,Region 6,201447,250,929,1822,819,220,120,3910,100474,3.89,3.88
1992,1505,Region 6,201448,255,1282,1810,1134,296,222,4744,93685,5.06,4.69
1993,1505,Region 6,201449,258,1278,2144,1485,445,341,5693,116537,4.89,4.8
1994,1505,Region 6,201450,258,1404,2917,1336,416,299,6372,100212,6.36,8.08
1995,1505,Region 6,201451,234,1722,3306,1522,459,400,7409,90195,8.21,11.09
1996,1505,Region 6,201452,218,1803,2113,1180,433,423,5952,79711,7.47,7.8
1997,1505,Region 6,201453,228,1644,1548,1656,668,502,6018,79957,7.53,10.0
1998,1505,Region 6,201501,233,1141,1633,1516,585,357,5232,87664,5.97,8.28
1999,1505,Region 6,201502,236,1274,2541,1584,544,298,6241,91271,6.84,9.28
2000,1505,Region 6,201503,234,1474,2949,1612,539,317,6891,106724,6.46,7.68
2001,1505,Region 6,201504,236,1254,2521,1431,495,266,5967,108374,5.51,6.67
2002,1505,Region 6,201505,225,1022,2037,1239,496,269,5063,99448,5.09,6.13
2003,1505,Region 7,201440,84,50,98,43,15,14,220,50272,0.44,0.7
2004,1505,Region 7,201441,84,57,124,56,18,14,269,50144,0.54,0.86
2005,1505,Region 7,201442,83,53,129,72,23,15,292,52114,0.56,0.97
2006,1505,Region 7,201443,86,68,130,56,27,8,289,51730,0.56,0.9
2007,1505,Region 7,201444,83,54,113,36,13,11,227,48190,0.47,0.71
2008,1505,Region 7,201445,84,48,124,59,13,12,256,50951,0.5,0.77
2009,1505,Region 7,201446,87,63,143,62,22,7,297,50984,0.58,1.09
2010,1505,Region 7,201447,83,75,163,58,20,8,324,49921,0.65,1.03
2011,1505,Region 7,201448,85,79,166,88,23,17,373,37005,1.01,1.84
2012,1505,Region 7,201449,84,92,243,122,41,26,524,53885,0.97,1.79
2013,1505,Region 7,201450,85,170,577,222,66,69,1104,53384,2.07,3.7
2014,1505,Region 7,201451,82,223,667,282,104,83,1359,53809,2.53,4.9
2015,1505,Region 7,201452,84,218,416,284,132,143,1193,36168,3.3,6.47
2016,1505,Region 7,201453,85,275,322,318,122,171,1208,40140,3.01,5.83
2017,1505,Region 7,201501,78,147,270,283,89,108,897,17959,4.99,4.77
2018,1505,Region 7,201502,74,142,344,181,73,66,806,18568,4.34,3.92
2019,1505,Region 7,201503,72,172,398,162,64,55,851,15899,5.35,4.55
2020,1505,Region 7,201504,69,146,376,165,82,101,870,16434,5.29,4.49
2021,1505,Region 7,201505,63,126,240,128,63,93,650,15277,4.25,3.72
2022,1505,Region 8,201440,117,82,152,87,19,8,348,36991,0.94,0.67
2023,1505,Region 8,201441,114,58,146,87,23,12,326,37517,0.87,0.66
2024,1505,Region 8,201442,114,65,175,82,19,10,351,39391,0.89,0.67
2025,1505,Region 8,201443,111,80,173,91,23,10,377,35071,1.07,0.79
2026,1505,Region 8,201444,114,81,152,94,25,12,364,36635,0.99,0.77
2027,1505,Region 8,201445,110,82,180,81,21,6,370,34784,1.06,0.82
2028,1505,Region 8,201446,113,93,216,97,21,14,441,36574,1.21,0.79
2029,1505,Region 8,201447,113,98,239,84,26,16,463,36541,1.27,0.76
2030,1505,Region 8,201448,116,121,250,104,29,20,524,31163,1.68,0.99
2031,1505,Region 8,201449,117,165,286,145,52,18,666,38324,1.74,1.32
2032,1505,Region 8,201450,116,192,425,199,59,34,909,38779,2.34,1.87
2033,1505,Region 8,201451,110,229,522,234,75,51,1111,37438,2.97,2.46
2034,1505,Region 8,201452,111,279,561,331,113,104,1388,30675,4.52,3.9
2035,1505,Region 8,201453,112,397,463,407,148,128,1543,33807,4.56,4.45
2036,1505,Region 8,201501,117,347,499,335,153,112,1446,41491,3.49,3.45
2037,1505,Region 8,201502,118,320,580,333,109,79,1421,39833,3.57,3.42
2038,1505,Region 8,201503,112,362,524,280,118,69,1353,38181,3.54,3.24
2039,1505,Region 8,201504,111,370,491,212,111,62,1246,40228,3.1,3.05
2040,1505,Region 8,201505,104,313,441,201,67,36,1058,36845,2.87,2.81
2041,1505,Region 9,201440,232,263,536,209,109,106,1223,87090,1.4,1.71
2042,1505,Region 9,201441,244,284,569,217,117,97,1284,88075,1.46,1.78
2043,1505,Region 9,201442,250,298,526,234,108,121,1287,91404,1.41,1.69
2044,1505,Region 9,201443,255,288,524,256,111,86,1265,93897,1.35,1.64
2045,1505,Region 9,201444,260,304,493,187,108,114,1206,87827,1.37,1.66
2046,1505,Region 9,201445,267,348,689,221,120,94,1472,90842,1.62,1.96
2047,1505,Region 9,201446,250,358,566,194,85,101,1304,82971,1.57,1.89
2048,1505,Region 9,201447,268,423,701,265,140,111,1640,91970,1.78,2.18
2049,1505,Region 9,201448,266,359,504,238,114,105,1320,62945,2.1,2.46
2050,1505,Region 9,201449,273,399,683,305,189,128,1704,91074,1.87,2.17
2051,1505,Region 9,201450,266,422,731,303,181,157,1794,85994,2.09,2.37
2052,1505,Region 9,201451,258,478,709,336,185,161,1869,80178,2.33,2.66
2053,1505,Region 9,201452,249,498,566,295,201,186,1746,47355,3.69,4.16
2054,1505,Region 9,201453,249,547,611,491,309,292,2250,54653,4.12,4.54
2055,1505,Region 9,201501,243,575,1015,672,373,372,3007,82903,3.63,3.83
